taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated	paired_fin
Megalodoras uranoscopus	1	1	2	2	0	0	3
Xyliphius melanopterus	1	1	2	2	0	0	3
Cyclopteropsis mcalpini	1	?	1	?	1	0	3
Bassanago bulbiceps	?	0	?	0	0	1	2
Pseudoblennius argenteus	1	?	1	?	1	0	3
Brachyplatystoma vaillantii	1	1	2	2	1	0	3
Gambusia krumholzi	1	?	2	?	1	0	3
Ariosoma sereti	1	0	1	0	1	1	2
Paramonacanthus frenatus	1	0	1	0	1	1	2
Coris venusta	1	?	1	?	1	0	3
Profundulus labialis	1	?	2	?	1	0	3
Pseudochromis wilsoni	1	1	1	1	1	1	3
Eustomias crossotus	?	1	?	1	0	1	3
Myripristis berndti	?	1	?	2	0	1	3
Pseudepapterus hasemani	1	?	2	?	1	0	3
Pseudoscopelus obtusifrons	1	?	2	?	1	0	3
Sardinella fijiense	1	?	1	?	1	0	3
Sisor rheophilus	1	?	2	?	1	0	3
Stemonosudis macrura	1	1	2	2	1	1	3
Parablennius cornutus	1	?	1	?	1	0	3
Pseudocoris aurantiofasciata	1	?	1	?	1	0	3
Austrofundulus leohoignei	1	?	1	?	1	0	3
Bagarius suchus	1	?	2	?	1	0	3
Amblyopsis rosae	1	0	1	0	0	0	2
Arius madagascariensis	1	1	2	2	1	0	3
Adrianichthys poptae	1	1	2	2	0	0	3
Lophotus lacepede	1	?	1	?	1	0	3
Acestrorhynchus microlepis	1	1	2	2	0	0	3
Pseudolaguvia kapuri	1	?	2	?	1	0	3
Takifugu stictonotus	1	1	1	2	1	1	3
Glyptothorax rugimentum	1	?	2	?	1	0	3
Dibranchus cracens	1	?	2	?	1	0	3
Aseraggodes winterbottomi	?	1	?	1	0	1	3
Astronesthes tchuvasovi	?	1	?	1	0	1	3
Chrysichthys polli	1	?	2	?	1	0	3
Chascanopsetta kenyaensis	1	1	1	1	1	1	3
Cyprinus daliensis	?	1	?	2	0	1	3
Triplophysa stoliczkai	1	1	2	2	0	0	3
Bathytyphlops marionae	1	1	2	2	0	0	3
Herklotsichthys lippa	1	?	1	?	1	0	3
Paraloricaria commersonoides	1	?	2	?	1	0	3
Pseudomystus funebris	1	?	2	?	1	0	3
Oloplotosus torobo	1	?	2	?	1	0	3
Hypentelium etowanum	?	1	?	2	0	0	3
Ariosoma mauritianum	1	0	1	0	1	1	2
Nematalosa resticularia	1	?	1	?	1	0	3
Ancistrus falconensis	1	?	2	?	1	0	3
Patagonotothen wiltoni	1	?	2	?	1	0	3
Astyanax trierythropterus	1	?	2	?	1	0	3
Centrochir crocodili	1	?	2	?	1	0	3
Glandulocauda melanogenys	?	1	?	2	0	0	3
Gnathophis habenatus	?	0	?	0	0	1	2
Echiodon atopus	1	0	1	0	1	1	2
Pterygoplichthys zuliaensis	1	1	2	2	0	0	3
Histiophryne psychedelica	1	1	1	1	1	1	3
Eustomias albibulbus	?	1	?	1	0	1	3
Bolinichthys nikolayi	?	1	?	2	0	1	3
Pseudobagrus taeniatus	1	1	2	2	0	0	3
Fundulopanchax gardneri	1	?	2	?	1	0	3
Centromochlus megalops	1	1	2	2	0	0	3
Hippocampus ingens	?	0	?	0	0	1	2
Lagocephalus lunaris	1	1	1	2	1	1	3
Cirrhilabrus morrisoni	1	1	2	2	1	1	3
Bathymyrus echinorhynchus	1	0	1	0	1	1	2
Lycenchelys aurantiaca	1	?	1	?	1	0	3
Taunayia bifasciata	1	1	2	2	0	0	3
Champsodon capensis	1	?	2	?	1	0	3
Lestidiops sphyrenoides	1	1	2	2	1	1	3
Ceratias holboelli	1	0	1	0	1	1	2
Encheloclarias kelioides	1	?	1	?	1	0	3
Lycodes reticulatus	1	?	1	?	1	0	3
Mastacembelus moorii	1	?	1	?	0	0	3
Anodontiglanis dahli	1	1	2	2	1	0	3
Amarginops platus	1	1	2	2	0	0	3
Cottus hubbsi	1	?	1	?	1	0	3
Ancistrus eustictus	1	?	2	?	1	0	3
Paraluteres arqat	1	0	1	0	1	1	2
Monolene mertensi	1	1	1	1	1	1	3
Aphyonus rassi	1	?	1	?	1	0	3
Sargocentron melanospilos	?	1	?	2	0	1	3
Aphyosemion ogoense	1	?	2	?	1	0	3
Austrolebias elongatus	1	?	1	?	1	0	3
Astyanax ajuricaba	1	?	2	?	1	0	3
Synaphobranchus brevidorsalis	?	0	?	0	0	1	2
Cynoglossus roulei	0	0	0	0	1	1	0
Cottus paulus	1	?	1	?	1	0	3
Paraliparis abyssorum	1	0	1	0	1	1	2
Hypleurochilus pseudoaequipinnis	1	?	1	?	1	0	3
Rineloricaria pareiacantha	1	?	2	?	1	0	3
Liparis kusnetzovi	1	?	1	?	1	0	3
Bolinichthys distofax	?	1	?	2	0	1	3
Japonolycodes abei	1	?	1	?	1	0	3
Lepidotrigla musorstom	1	?	1	?	1	0	3
Eumicrotremus phrynoides	1	?	1	?	1	0	3
Microglanis pataxo	1	?	2	?	1	0	3
Pseudalutarius nasicornis	1	0	1	0	1	1	2
Oxyzygonectes dovii	1	?	2	?	1	0	3
Carlhubbsia stuarti	1	?	2	?	1	0	3
Astyanax cremnobates	1	?	2	?	1	0	3
Hippocampus semispinosus	?	0	?	0	0	1	2
Hemibagrus dongbacensis	1	?	2	?	1	0	3
Brachaluteres ulvarum	1	0	1	0	1	1	2
Cryptacanthodes giganteus	1	0	2	0	1	1	2
Aspidoras carvalhoi	1	?	2	?	1	0	3
Ammodytoides renniei	1	?	1	?	1	0	3
Entomocorus benjamini	1	1	2	2	0	0	3
Arnoglossus aspilos	1	1	1	1	1	1	3
Gymnothorax funebris	0	0	0	0	1	1	0
Ecsenius lubbocki	1	?	1	?	1	0	3
Seriolina nigrofasciata	1	?	1	?	1	0	3
Cetomimus hempeli	1	0	2	0	1	1	2
Compsaraia samueli	1	0	1	0	1	1	2
Coccorella atrata	1	1	2	2	1	1	3
Paraliparis lasti	1	0	1	0	1	1	2
Cymolutes torquatus	1	?	1	?	1	0	3
Plesiolebias filamentosus	1	?	1	?	1	0	3
Mitotichthys semistriatus	?	0	?	0	0	1	2
Pareiorhina carrancas	1	?	2	?	1	0	3
Corydoras nijsseni	1	?	2	?	1	0	3
Atopochilus christyi	1	?	2	?	1	0	3
Hypostomus seminudus	1	?	2	?	1	0	3
Siganus luridus	1	1	2	2	0	0	3
