taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated	paired_fin
Ecsenius randalli	1	?	1	?	1	0	3
Prionotus evolans	1	?	1	?	1	0	3
Parabothus polylepis	1	1	1	1	1	1	3
Akysis ephippifer	1	?	2	?	1	0	3
Symphodus doderleini	1	1	2	2	1	1	3
Microglanis iheringi	1	?	2	?	1	0	3
Chiloglanis trilobatus	1	?	2	?	1	0	3
Kryptolebias ocellatus	1	?	1	?	1	0	3
Acrochordonichthys rugosus	1	1	2	2	0	0	3
Gymnothorax sokotrensis	0	0	0	0	1	1	0
Paramonacanthus tricuspis	1	0	1	0	1	1	2
Cetopsidium roae	1	?	2	?	1	0	3
Gymnothorax vagrans	0	0	0	0	1	1	0
Parotocinclus polyochrus	1	?	2	?	0	0	3
Parachanna insignis	1	?	1	?	1	0	3
