taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Chlidichthys_clibanarius	1	1	1	1	1	1
Chlidichthys_foudioides	1	1	1	1	1	1
Chlidichthys_abruptus	1	1	1	1	1	1
Chlidichthys_randalli	1	1	1	1	1	1
Chlidichthys_inornatus	1	1	1	1	1	1
Chlidichthys_smithae	1	1	1	1	1	1
Chlidichthys_bibulus	1	1	1	1	1	1
Chlidichthys_johnvoelckeri	1	1	1	1	1	1
Chlidichthys_rubiceps	1	1	1	1	1	1
Chlidichthys_chagosensis	1	1	1	1	1	1
Chlidichthys_auratus	1	1	1	1	1	1
Albula_eppsi	?	1	?	1	0	1
Albula_dunklei	?	1	?	1	0	1
Albula_lapidosa	?	1	?	1	0	1
Albula_argentea	?	1	?	1	0	1
Albula_virgata	?	1	?	1	0	1
Albula_nemoptera	?	1	?	1	0	1
Albula_oligolepis	?	1	?	1	0	1
Albula_glossodonta	?	1	?	1	0	1
Albula_goreensis	?	1	?	1	0	1
Albula_esuncula	?	1	?	1	0	1
Albula_pacifica	?	1	?	1	0	1
Albula_forsteri	?	1	?	1	0	1
Doratonotus_megalepis	1	1	2	2	1	1
Serrapinnus_micropterus	?	1	?	2	0	1
Serrapinnus_microdon	?	1	?	2	0	1
Serrapinnus_heterodon	?	1	?	2	0	1
