Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
2700	-135.173	-169.618	34.4457	0.02021886	0.02388227	0.1818825	0.004417761	0.001894056	0.009423109	0.04506751	0.05726119	0.1429259	0.1328621	0.0002958879	0.005665504	0.03368594	0.0007348397	0.001982422	0.01210161
2800	-137.202	-172.118	34.9157	0.0132438	0.1963234	0.0960786	0.003672652	0.001245039	0.009824837	0.02570416	0.1070401	0.1373915	0.008858442	0.006152683	0.004451144	0.02704919	0.0007056168	0.001647931	0.01141297
2900	-140.516	-171.853	31.337	0.05757229	0.002845283	0.03536138	0.003924195	0.0002988842	0.01156644	0.05478845	0.0733618	0.07269748	0.3001182	0.00105782	0.006617792	0.1463161	0.0007487693	0.00042886	0.06203064
3000	-140.272	-173.792	33.52	0.06772115	0.06220149	0.1753326	0.002805627	0.003598284	0.004987507	0.002761697	0.05568893	0.08387915	0.1885567	0.006809757	0.009410328	0.03691811	0.0001254477	0.001479397	0.01831039
3100	-135.923	-169.261	33.3382	0.2178848	0.03452574	0.07728102	0.001667428	0.003344051	0.010888	0.001102046	0.1154522	0.104607	0.101605	0.001183965	0.00327249	0.03755514	0.001832791	0.002085409	0.01538921
3200	-138.232	-170.549	32.3166	0.009736178	0.1969677	0.09960597	0.001120808	0.003769432	0.01386822	0.002725478	0.2337898	0.1327952	0.01145968	0.0005473508	0.001080958	0.05176868	0.001094783	0.007250787	0.01317674
3300	-142.681	-169.561	26.88	0.1328447	0.04344495	0.01973785	0.0133815	0.01629638	0.003152749	0.008540551	0.275315	0.1727655	0.3012293	0.003793739	0.002037558	0.04364859	0.0001233228	0.003095932	0.01318012
3400	-139.781	-170.511	30.7295	0.02852783	0.1235631	0.04477653	6.914307e-05	0.008961992	0.003624785	0.01045348	0.09590399	0.3425618	0.1381361	0.001050345	0.002210937	0.03799687	0.002229129	0.009338679	0.01070707
3500	-140.421	-172.149	31.7284	0.051146	0.05304639	0.3174179	0.001616222	0.001313079	0.009308601	0.01073183	0.1602916	0.01221816	0.07781654	0.0008952767	0.0003268843	0.07714414	0.004703844	0.004578882	0.02761158
3600	-137.424	-169.324	31.8991	0.06368359	0.1483555	0.04333624	0.0008908472	0.01177133	0.001006021	0.007558808	0.1405218	0.2984794	0.03459688	0.004133882	0.002676523	0.02523	0.0008318635	0.005595628	0.01296025
3700	-138.458	-173.487	35.0288	0.01672116	0.02061348	0.0637755	0.003708731	0.001167322	0.004448944	0.04323733	0.2888791	0.06917126	0.05993112	0.001496718	0.006330058	0.04701008	0.001635638	0.001968848	0.01505002
3800	-136.497	-168.295	31.7984	0.2071335	0.03001159	0.06835139	0.002551701	0.007145968	0.002681118	0.004977187	0.0794619	0.2435947	0.09686267	0.001430568	0.0018505	0.03922807	0.0002274476	0.008416878	0.01274056
3900	-137.998	-166.372	28.3734	0.0559196	0.143272	0.1993151	0.003934045	0.01262421	0.005049989	0.009307778	0.2286224	0.1778902	0.06544422	0.002439635	0.0009366271	0.05133282	8.087723e-05	0.003071194	0.01867353
4000	-143.18	-166.465	23.2848	0.1086755	0.03128096	0.2157608	0.0116773	0.0004295393	0.008277664	0.01989038	0.1445339	0.2846823	0.3356002	0.0007616869	0.003750446	0.04466065	8.497058e-05	0.004115565	0.01816249
