Iteration	Posterior	Likelihood	Prior	r1	r2
8600	-0.124635	-1.16254	1.03791	0.001214308	0.2464636
8700	1.94683	-0.440752	2.38758	0.000344404	0.1798496
8800	2.67532	-1.89969	4.57501	0.0006758726	0.07014686
8900	3.91023	-0.706804	4.61704	0.0002343257	0.06848705
9000	3.51288	-0.533904	4.04678	0.0002450918	0.09698903
9100	4.41827	-0.317078	4.73535	8.11824e-05	0.06272474
9200	4.38277	-0.476286	4.85906	0.0001155143	0.05650472
9300	3.46587	-0.799066	4.26494	0.0003319318	0.08599429
9400	2.16755	-3.00309	5.17064	0.0007225639	0.0403186
9500	0.828568	-1.66201	2.49058	0.001262305	0.1737821
9600	4.52832	-0.266591	4.79491	5.729825e-05	0.05977061
9700	3.2326	-0.439581	3.67218	0.0002344791	0.1157297
9800	1.88832	-2.24368	4.132	0.0009973227	0.09197575
9900	3.93694	-0.17066	4.1076	7.411064e-05	0.094119
10000	3.994	-1.69598	5.68998	0.0002040322	0.0148704
