Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
2600	-25.5045	-63.5093	38.0049	0.1378602	0.03046812	0.02201311	0.03084085	0.01311127	0.07235742	0.003977891	0.02606968	0.02857452	0.0006222226	0.003352279	0.08423805	0.04047762	0.0003904893	0.0007257997	0.00126292
2700	-23.9038	-61.778	37.8741	0.03041478	0.004526745	0.1629817	0.006475818	0.006079238	0.006198477	0.003360716	0.02520642	0.08685677	3.196401e-05	0.05793534	0.01919986	0.08872258	0.0005145956	0.00400542	0.0003697106
2800	-23.1246	-62.1941	39.0695	0.02242685	0.01529639	0.02993147	0.0008531297	0.01158473	0.05749962	0.006319097	0.02585675	0.08564778	0.0002149227	0.005513844	0.1110507	0.0689379	2.065207e-05	0.001452642	0.0005068693
2900	-26.2563	-61.7422	35.4859	0.006598422	0.1042565	0.1861457	0.002294253	0.008473019	0.005335042	0.003437152	0.03203322	0.05882233	0.0006718772	0.02704789	0.02170263	0.1602425	0.0003840176	0.001944054	0.002902962
3000	-22.3448	-60.1769	37.8321	0.08778018	0.071291	0.1288951	0.01149123	0.01121038	0.001776277	0.002237567	0.0703634	0.03789518	0.0001188773	0.02141299	0.03925358	0.01767763	0.0002779095	0.002418112	0.0008811111
3100	-27.9221	-63.8465	35.9244	0.004732241	0.1775934	0.1741925	0.003900826	0.04751222	0.01355426	0.0009817133	0.04342719	0.02721428	0.000364961	0.008755174	0.09030837	0.00312675	0.001011919	0.001591483	0.002100348
3200	-32.9239	-67.7243	34.8004	0.08152083	0.03278548	0.1838359	0.07405956	0.02008904	0.005873007	0.003940609	0.05056894	0.07859084	0.001448641	0.05976327	0.02520447	0.03231435	0.0009474757	0.004846876	0.0007754472
3300	-28.2281	-65.6536	37.4255	0.0729454	0.002832032	0.0226745	0.009750822	0.04486224	0.01474555	0.007154578	0.1486753	0.05660346	0.001730323	0.04061593	0.08822166	0.009289577	4.420723e-05	0.004844379	0.000320689
3400	-34.2556	-65.6763	31.4207	0.116392	0.03170709	0.1377978	0.01750272	0.06639647	0.04632073	0.002550844	0.0451977	0.1327975	0.00234224	0.008378035	0.1133555	0.09751274	0.001052262	0.002433239	0.003815771
3500	-36.4118	-72.1766	35.7648	0.004277955	0.0013003	0.0195136	0.02249848	0.003011088	0.07532805	0.01383801	0.2064446	0.01271545	0.004712491	0.03636045	0.01427185	0.188449	0.0006407573	0.004870605	0.0001109141
3600	-26.4846	-61.8641	35.3795	0.1135597	0.09587783	0.009936364	0.03053105	0.003176129	0.00949243	0.01656637	0.04398188	0.1197044	6.508107e-05	0.005211579	0.1341258	0.03997857	0.0002024421	0.004959602	0.0002422426
3700	-32.5054	-63.1948	30.6894	0.1581505	0.0890412	0.009613133	0.01388948	0.001847898	0.003908317	0.0296876	0.1292482	0.1875037	0.001955164	0.1060971	0.03104857	0.09748397	9.564818e-06	0.002286024	0.0003455748
3800	-28.6093	-63.1704	34.5612	0.1048698	0.124351	0.01378825	0.01189182	0.01421336	0.004905939	0.01884238	0.1163911	0.03188755	0.0001615849	0.06123623	0.1082569	0.05351855	1.155881e-05	0.001641131	0.002560313
3900	-28.8217	-65.0739	36.2523	0.02808559	0.05058338	0.0367767	0.0007884388	0.08918997	0.004677021	0.01948661	0.07248411	0.1660143	0.001075801	0.01570819	0.03629147	0.05738882	0.0001378494	0.004048131	0.001236894
4000	-24.6073	-60.7321	36.1248	0.1303444	0.05458449	0.0884472	0.005543015	0.009230391	0.01349886	0.01790712	0.07637773	0.03344006	0.00028009	0.001669398	0.04314219	0.1110654	0.0004281319	0.003104743	0.001283525
4100	-28.0853	-64.4524	36.3671	0.04847926	0.2004121	0.0007234991	0.01121121	0.02724745	0.03950726	0.006588075	0.1070361	0.01201516	0.001769548	0.009333974	0.0542822	0.0555814	0.0001146538	0.001046421	0.002884574
4200	-34.9147	-65.8645	30.9499	0.001438177	0.1330631	0.1190256	0.01653758	0.01373027	0.03265361	0.006507174	0.03694744	0.1711323	0.00120335	0.112075	0.1161894	0.08245719	0.0004057151	0.002178972	0.003547424
4300	-30.3078	-66.4624	36.1546	0.06749682	0.01042778	0.01447425	0.006978595	0.07333965	0.06735663	0.0442596	0.0782465	0.05828212	0.0002995453	0.009621668	0.1360067	0.01893137	0.0007525805	0.002330036	5.321491e-05
4400	-22.2372	-63.3052	41.068	0.02729783	0.03499746	0.01144631	0.01877516	0.01793523	0.01801249	0.008284996	0.01234637	0.06410142	0.003575475	0.01037096	0.1047562	0.008513052	1.323356e-05	0.001671436	0.001087843
4500	-27.9044	-63.7568	35.8525	0.06883758	0.04394663	0.04149656	0.02224786	0.0262626	0.009596649	0.0692993	0.05633851	0.005724499	0.0004859817	0.02964129	0.1024864	0.1257496	2.600782e-05	0.0008588401	0.0009634388
4600	-26.5261	-64.4732	37.947	0.0377893	0.08826778	0.177386	0.003359135	0.0009226219	0.01164065	0.006054204	0.07066255	0.07000944	0.001718932	0.009306586	0.01286247	0.004539014	0.001377959	0.003254804	8.191922e-05
4700	-28.0158	-64.8301	36.8143	0.001336195	0.03737308	0.1168855	0.004888819	0.04643172	0.01102014	0.004724515	0.06724906	0.06842742	0.001777005	0.006419811	0.03083757	0.150831	7.696566e-05	0.005461392	0.002131634
4800	-29.132	-61.8144	32.6825	0.03780604	0.2196326	0.01732765	0.005463629	0.03648782	0.009394557	0.03235913	0.1035421	0.03702956	0.0002721156	0.006556658	0.2178468	0.03552964	6.750431e-05	0.002213306	0.0009332529
4900	-25.8092	-60.7141	34.9049	0.063031	0.1443142	0.1522551	0.009125852	0.03249951	0.01379467	0.009149128	0.05247507	0.06577836	0.0004208108	0.006885786	0.04447034	0.05433218	0.0002076032	0.001026049	0.001575023
5000	-29.3703	-61.8544	32.4842	0.0459989	0.005889436	0.1186435	0.003768069	0.007452416	0.006372703	0.02375649	0.06544029	0.1859644	0.0003146417	0.01128705	0.1636626	0.1293162	0.0002999046	0.002506176	0.001704395
5100	-27.2952	-63.1956	35.9004	0.004363349	0.1521197	0.08558115	0.008224162	0.01880486	0.007205379	0.01312006	0.03291056	0.009163419	0.0005247321	0.1010304	0.08280838	0.08230798	2.548296e-05	0.002253788	0.001120969
5200	-24.3523	-60.7164	36.3641	0.1871298	0.03032642	0.01012107	0.004348321	0.01340631	0.01795456	0.01312159	0.1125198	0.01254407	0.001238851	0.006368115	0.08289627	0.08439764	2.074227e-05	0.001029235	0.0009580905
5300	-28.4993	-63.4866	34.9873	0.01411836	0.04791027	0.1048103	0.009423207	0.02322956	0.01597528	0.009150075	0.120381	0.06319608	0.0005081322	0.01007256	0.07123086	0.1508219	0.0007506658	0.001496465	0.004145929
5400	-28.0956	-66.8364	38.7408	0.008511882	0.02948172	0.08513945	0.04628279	0.03336485	0.08188472	0.0002360887	0.0780691	0.0177885	0.003806516	0.007160845	0.02078972	0.04394049	0.0002480981	0.002046447	0.000793871
5500	-20.7145	-58.6739	37.9594	0.03569092	0.08634242	0.05309992	0.006973449	0.000506013	0.02130185	0.004058009	0.03416754	0.03066714	0.0004747679	0.005068182	0.081312	0.1355282	0.0001596674	0.001349762	0.001913656
5600	-22.666	-64.2588	41.5929	0.03701884	0.005520118	0.00219269	0.0393049	0.001920265	0.02403193	0.001930577	0.02268525	0.04784327	0.002343885	0.02919312	0.07477605	0.02516689	7.905483e-05	0.001437691	0.001498683
5700	-24.1699	-63.9863	39.8164	0.0067584	0.0862695	0.001642536	0.02772517	0.001905101	0.02254835	0.001857341	0.01141415	0.05576423	0.001008515	0.002100371	0.09047258	0.09285893	0.0004266432	0.002489224	0.0005264085
