Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
2700	-248.426	-279.061	30.6355	0.1745154	0.1092238	0.1343797	0.002556199	0.0398044	0.0004238119	0.005037422	0.008551958	0.003842902	0.1270076	0.00549479	0.04217405	0.1449673	0.01087547	0.001525599	0.0544309
2800	-241.089	-263.416	22.3268	0.2369283	0.1844266	0.3808972	2.208483e-05	0.03043394	0.002035044	0.003417083	0.01277708	0.004197075	0.1102647	0.0007654538	0.00228796	0.1745244	0.01818385	0.0132259	0.1058573
2900	-239.467	-263.217	23.7505	0.2880164	0.3365834	0.1280332	0.005366961	0.0223482	0.002579987	0.003040404	0.0111087	0.001100805	0.1231581	0.01708292	0.01352885	0.1553375	1.134122e-05	0.003305729	0.09846026
3000	-241.417	-264.087	22.6699	0.2821979	0.3003857	0.1965728	0.004418919	0.02609886	0.0007505494	0.001888814	0.01082738	0.00115735	0.1466801	0.01281112	0.0132912	0.1495435	0.01143013	0.008533086	0.09650273
3100	-247.561	-263.515	15.9548	0.273817	0.1324733	0.2736995	0.006906409	0.03635336	0.006876637	0.003189978	0.01525329	0.002723152	0.234773	0.002686135	0.002971214	0.3493537	0.003120149	0.009131087	0.245518
3200	-243.04	-269.125	26.0858	0.2983176	0.09444608	0.1679709	0.001591021	0.0224646	0.007157168	0.007929758	0.0105316	0.001040523	0.2087359	0.001981679	0.01147202	0.120065	0.02406114	0.01252181	0.1020091
3300	-237.159	-264.282	27.1228	0.1820622	0.1852946	0.2231625	0.002228489	0.02286686	0.004505267	0.0002076668	0.009288189	0.003153176	0.04898644	0.0131867	0.01260106	0.1873547	0.002621079	0.01036283	0.1325638
3400	-238.747	-267.396	28.6481	0.1241244	0.1452537	0.06877999	0.002474393	0.03028902	0.004203257	0.003873824	0.008301695	0.0006658869	0.1596056	0.002013856	0.002763393	0.2449439	0.009050571	0.008617821	0.1492179
3500	-243.679	-273.641	29.9622	0.08434482	0.1807766	0.2396268	0.01120935	0.02225368	0.004328797	0.00477259	0.00415364	0.00108157	0.1762131	0.0096874	0.01054342	0.0793962	0.01778116	0.008884243	0.04342046
3600	-238.509	-260.962	22.453	0.3098955	0.373794	0.2235255	0.0004475275	0.02406878	0.005155147	0.002241861	0.009232163	0.00290537	0.08997177	0.01166749	0.0005677651	0.1105529	0.01907266	0.005167589	0.0856702
